,final_result,score,sum_click,Engagement
283,Pass,66,373,0
284,Withdrawn,12,2049,0
285,Pass,75,695,0
286,Pass,80,6396,1
287,Withdrawn,45,3509,0
288,Pass,75,755,0
289,Pass,56,1053,0
290,Pass,88,7252,1
291,Pass,81,2434,1
292,Pass,56,947,0
293,Distinction,84,270,0
294,Withdrawn,50,181,0
295,Withdrawn,62,269,0
296,Pass,65,5236,1
297,Pass,56,483,0
298,Pass,78,1194,0
299,Pass,80,2327,1
300,Pass,84,1049,0
301,Pass,75,1572,0
302,Pass,60,1077,0
303,Fail,57,737,0
304,Pass,81,4300,1
305,Distinction,85,420,0
306,Fail,51,6378,0
307,Pass,78,2269,1
308,Pass,80,1423,0
309,Fail,45,540,0
310,Pass,78,1845,1
311,Withdrawn,28,243,0
312,Withdrawn,25,141,0
313,Withdrawn,84,931,0
314,Fail,62,583,0
315,Pass,88,1897,1
316,Withdrawn,10,271,0
317,Fail,49,116,0
318,Pass,63,3630,1
319,Pass,77,1297,0
320,Fail,86,96,0
321,Distinction,89,7811,0
322,Distinction,92,3679,1
323,Pass,83,208,0
324,Pass,66,2992,1
325,Distinction,92,5914,1
326,Pass,82,950,0
327,Pass,73,489,0
328,Fail,66,1073,0
329,Pass,72,4465,1
330,Fail,69,1868,0
331,Withdrawn,69,1728,0
332,Fail,66,18,0
333,Withdrawn,61,2229,0
334,Pass,82,1482,0
335,Withdrawn,47,224,0
336,Pass,70,680,0
337,Pass,88,2568,1
338,Pass,83,2273,1
339,Fail,74,110,0
340,Pass,90,1354,0
341,Fail,68,472,0
342,Pass,73,897,0
343,Withdrawn,76,1305,0
344,Fail,69,2669,0
345,Withdrawn,79,321,0
346,Fail,73,426,0
347,Pass,85,2073,1
348,Withdrawn,61,1782,0
349,Withdrawn,34,810,0
350,Pass,76,2482,1
351,Withdrawn,57,431,0
352,Withdrawn,76,4608,0
353,Pass,62,1502,0
354,Pass,87,5083,1
355,Withdrawn,74,350,0
356,Withdrawn,52,330,0
357,Distinction,93,3699,1
358,Pass,81,1015,0
359,Pass,83,698,0
360,Pass,75,28615,1
361,Withdrawn,92,589,1
362,Fail,67,817,0
363,Fail,68,474,0
364,Withdrawn,84,310,0
365,Fail,80,1100,0
366,Withdrawn,65,591,0
367,Distinction,79,508,0
368,Pass,68,352,0
369,Fail,78,1538,0
370,Distinction,94,658,1
371,Pass,75,879,0
372,Pass,80,1370,0
373,Pass,73,3395,1
374,Pass,73,954,0
375,Withdrawn,30,382,0
376,Fail,62,393,0
377,Pass,78,2935,1
378,Fail,78,210,0
379,Distinction,87,657,0
380,Withdrawn,75,1986,0
381,Fail,34,179,0
382,Distinction,63,2126,0
383,Distinction,91,7698,1
384,Withdrawn,85,1194,0
385,Pass,89,495,0
386,Pass,90,474,0
387,Pass,58,665,0
388,Pass,78,656,0
389,Withdrawn,48,204,0
390,Pass,71,2280,1
391,Withdrawn,59,81,0
392,Withdrawn,74,1853,0
393,Withdrawn,51,1065,0
394,Withdrawn,70,197,0
395,Withdrawn,69,1569,0
396,Pass,84,2284,1
397,Pass,68,861,0
398,Pass,83,2253,1
399,Distinction,94,8480,1
400,Pass,77,1791,1
401,Withdrawn,50,802,0
402,Pass,79,1018,0
403,Pass,85,568,0
404,Withdrawn,76,187,0
405,Pass,86,809,0
406,Distinction,92,953,1
407,Pass,90,3582,1
408,Fail,55,888,0
409,Pass,52,576,0
410,Pass,82,1163,0
411,Pass,63,183,0
412,Pass,64,1760,1
413,Pass,84,595,0
414,Fail,56,406,0
415,Distinction,92,141,1
416,Distinction,66,1227,0
417,Pass,80,5614,1
418,Pass,81,609,0
419,Pass,64,1084,0
420,Pass,77,183,0
421,Pass,66,810,0
422,Distinction,89,2315,0
423,Fail,52,168,0
424,Withdrawn,43,446,0
425,Pass,71,1494,0
426,Pass,82,1616,0
427,Withdrawn,75,103,0
428,Pass,66,1521,0
429,Fail,77,1657,0
430,Withdrawn,69,1354,0
431,Withdrawn,66,447,0
432,Fail,81,957,0
433,Fail,51,229,0
434,Fail,38,10981,0
435,Pass,76,1067,0
436,Distinction,82,1350,0
437,Pass,77,974,0
438,Pass,86,2275,1
439,Fail,77,199,0
440,Fail,64,1845,0
441,Fail,61,444,0
442,Withdrawn,65,1240,0
443,Fail,40,199,0
444,Withdrawn,70,1234,0
445,Withdrawn,48,281,0
446,Pass,83,936,0
447,Withdrawn,45,381,0
448,Pass,93,1721,1
449,Pass,76,539,0
450,Pass,83,589,0
451,Pass,85,207,0
452,Fail,36,182,0
453,Pass,82,776,0
454,Pass,86,2707,1
455,Withdrawn,0,96,0
456,Fail,92,402,1
457,Fail,76,283,0
458,Pass,90,189,0
459,Pass,91,984,1
460,Pass,92,471,1
461,Withdrawn,77,91,0
462,Fail,69,98,0
463,Pass,61,2839,1
464,Withdrawn,68,355,0
465,Pass,73,770,0
466,Pass,81,145,0
467,Withdrawn,100,35,1
468,Pass,72,439,0
469,Pass,59,368,0
470,Fail,52,1369,0
471,Withdrawn,30,359,0
472,Fail,46,397,0
473,Fail,92,2109,1
474,Pass,76,553,0
475,Pass,76,3922,1
476,Pass,89,6514,1
477,Withdrawn,78,42,0
478,Fail,67,950,0
479,Distinction,89,4395,0
480,Pass,68,744,0
481,Pass,83,1769,1
482,Withdrawn,41,717,0
483,Fail,55,112,0
484,Fail,49,866,0
485,Pass,90,5766,1
486,Fail,84,380,0
487,Pass,73,4104,1
488,Distinction,90,4382,0
489,Withdrawn,100,67,1
490,Withdrawn,54,535,0
491,Pass,75,1025,0
492,Pass,79,3825,1
493,Pass,78,1944,1
494,Pass,79,1749,1
495,Distinction,89,4400,0
496,Pass,77,1150,0
497,Pass,63,1221,0
498,Pass,86,381,0
499,Pass,58,170,0
500,Distinction,82,1579,0
501,Distinction,95,1451,1
502,Distinction,85,2245,0
503,Fail,81,928,0
504,Pass,80,4777,1
505,Fail,88,203,0
506,Pass,76,1496,0
507,Withdrawn,65,1157,0
508,Withdrawn,62,558,0
509,Fail,86,1107,0
510,Pass,67,963,0
511,Pass,51,1954,1
512,Pass,83,993,0
513,Pass,87,5925,1
514,Pass,90,385,0
515,Pass,77,4022,1
516,Pass,79,2900,1
517,Pass,60,1243,0
518,Withdrawn,60,465,0
519,Pass,75,548,0
520,Pass,53,733,0
521,Distinction,90,981,0
522,Fail,58,404,0
523,Withdrawn,63,666,0
524,Fail,61,1493,0
525,Distinction,86,4243,0
526,Pass,79,4604,1
527,Fail,72,1040,0
528,Pass,82,3722,1
529,Withdrawn,99,111,1
530,Withdrawn,94,626,1
531,Pass,88,396,0
532,Pass,69,3260,1
533,Pass,91,3797,1
534,Pass,59,3209,1
535,Pass,79,2399,1
536,Pass,77,2208,1
537,Withdrawn,63,203,0
538,Pass,89,411,0
539,Fail,69,846,0
540,Fail,27,102,0
541,Distinction,89,472,0
542,Distinction,92,7427,1
543,Withdrawn,84,290,0
544,Pass,55,1996,1
545,Pass,62,1377,0
546,Withdrawn,81,557,0
547,Pass,68,3019,1
548,Pass,85,1450,0
549,Pass,70,678,0
550,Fail,66,3794,0
551,Pass,81,199,0
552,Withdrawn,77,154,0
553,Distinction,90,396,0
554,Fail,68,1679,0
555,Pass,84,4092,1
556,Pass,63,998,0
557,Fail,50,157,0
558,Pass,77,876,0
559,Withdrawn,67,3039,0
560,Pass,84,1805,1
561,Pass,56,1084,0
562,Withdrawn,79,1114,0
563,Pass,73,5032,1
564,Pass,77,520,0
565,Fail,34,367,0
566,Withdrawn,44,697,0
567,Withdrawn,23,542,0
568,Pass,81,2343,1
569,Pass,89,3211,1
570,Fail,77,1553,0
571,Pass,87,1853,1
572,Withdrawn,76,431,0
573,Pass,79,2262,1
574,Pass,86,969,0
575,Pass,76,1131,0
576,Pass,78,3553,1
577,Pass,84,2515,1
578,Fail,61,271,0
579,Withdrawn,85,1936,0
580,Fail,76,590,0
581,Pass,72,757,0
582,Pass,90,2234,1
583,Distinction,88,1123,0
584,Fail,52,3570,0
585,Pass,69,1620,0
586,Pass,73,1358,0
587,Pass,82,3386,1
588,Fail,91,590,1
589,Fail,84,139,0
590,Pass,83,276,0
591,Pass,71,942,0
592,Withdrawn,88,1408,0
593,Pass,62,1886,1
594,Distinction,90,1179,0
595,Pass,58,511,0
596,Distinction,90,5554,0
597,Withdrawn,68,551,0
598,Pass,74,1108,0
599,Withdrawn,79,115,0
600,Distinction,95,12175,1
601,Fail,73,74,0
602,Pass,89,1009,0
603,Pass,73,2692,1
604,Pass,83,1427,0
605,Withdrawn,67,1355,0
606,Pass,92,4070,1
607,Pass,70,2580,1
608,Fail,91,442,1
609,Distinction,87,473,0
610,Pass,58,1695,1
611,Withdrawn,43,666,0
612,Pass,75,1206,0
613,Fail,35,537,0
614,Fail,31,21,0
615,Distinction,89,474,0
616,Pass,84,3463,1
617,Pass,86,4531,1
618,Withdrawn,60,792,0
619,Pass,79,3249,1
620,Pass,62,284,0
621,Withdrawn,75,2609,0
622,Withdrawn,86,3766,0
623,Withdrawn,62,614,0
624,Fail,67,592,0
625,Withdrawn,10,573,0
626,Distinction,90,2527,0
627,Pass,69,167,0
628,Withdrawn,67,2590,0
629,Fail,44,1281,0
630,Fail,59,125,0
631,Fail,88,740,0
632,Pass,69,507,0
633,Fail,36,342,0
634,Withdrawn,45,17,0
635,Withdrawn,90,449,0
636,Distinction,82,92,0
637,Pass,76,2259,1
638,Fail,76,371,0
639,Fail,59,634,0
640,Pass,54,809,0
641,Pass,70,270,0
642,Fail,45,110,0
643,Fail,41,526,0
644,Pass,55,1051,0
645,Fail,74,184,0
646,Pass,71,2041,1
647,Withdrawn,86,342,0
648,Pass,74,470,0
649,Pass,89,2893,1
650,Fail,66,145,0
651,Pass,85,1001,0
652,Fail,76,497,0
653,Withdrawn,77,2092,0
654,Pass,80,1068,0
655,Pass,78,1292,0
656,Withdrawn,62,673,0
657,Pass,66,734,0
658,Distinction,87,2042,0
659,Fail,96,1146,1
660,Distinction,96,945,1
661,Pass,90,1995,1
662,Withdrawn,44,265,0
663,Withdrawn,75,1988,0
664,Pass,82,1520,0
665,Pass,91,928,1
666,Pass,65,2195,1
667,Pass,83,863,0
668,Fail,79,3676,0
669,Pass,71,160,0
670,Pass,38,196,0
671,Withdrawn,94,438,1
672,Withdrawn,69,1810,0
673,Pass,79,3327,1
674,Withdrawn,0,209,0
675,Fail,38,1140,0
676,Pass,84,526,0
677,Withdrawn,57,2514,0
678,Pass,85,3782,1
679,Pass,49,1549,0
680,Fail,100,25,1
681,Pass,81,2566,1
682,Pass,61,443,0
683,Pass,76,291,0
684,Pass,60,1362,0
685,Pass,68,1501,0
686,Withdrawn,54,2862,0
687,Withdrawn,69,358,0
688,Pass,77,3002,1
689,Pass,70,1321,0
690,Pass,86,2906,1
691,Pass,69,186,0
692,Withdrawn,67,153,0
693,Pass,81,1357,0
694,Fail,69,1706,0
695,Withdrawn,53,493,0
696,Fail,88,66,0
697,Withdrawn,85,872,0
698,Pass,70,386,0
699,Fail,42,782,0
700,Withdrawn,60,1235,0
701,Withdrawn,66,735,0
702,Pass,85,9524,1
703,Distinction,92,1410,1
704,Withdrawn,68,518,0
705,Pass,86,3192,1
706,Pass,85,1982,1
707,Withdrawn,44,1516,0
708,Distinction,82,1427,0
709,Withdrawn,33,921,0
710,Fail,20,251,0
711,Distinction,88,4139,0
712,Withdrawn,81,1888,0
713,Distinction,96,1414,1
714,Fail,79,238,0
715,Pass,77,252,0
716,Pass,78,1831,1
717,Pass,65,5639,1
718,Pass,67,1630,0
719,Pass,66,1224,0
720,Pass,58,1252,0
721,Pass,60,332,0
722,Pass,70,3496,1
723,Withdrawn,75,1199,0
724,Pass,77,2702,1
725,Pass,90,999,0
726,Distinction,83,8229,0
727,Fail,61,377,0
728,Pass,80,3902,1
729,Withdrawn,37,744,0
730,Pass,76,5485,1
731,Pass,59,292,0
732,Pass,79,157,0
733,Pass,83,2307,1
734,Pass,74,3110,1
735,Withdrawn,30,454,0
736,Pass,87,1655,0
737,Withdrawn,46,223,0
738,Pass,84,1065,0
739,Fail,82,168,0
740,Withdrawn,80,2039,0
741,Pass,90,1054,0
742,Fail,70,2770,0
743,Fail,81,996,0
744,Withdrawn,87,402,0
745,Pass,69,1661,0
746,Pass,76,4300,1
747,Pass,70,996,0
748,Fail,68,403,0
749,Withdrawn,72,480,0
750,Fail,39,21,0
751,Pass,63,447,0
752,Pass,79,176,0
753,Pass,67,520,0
754,Pass,81,3783,1
755,Pass,92,1235,1
756,Distinction,88,4168,0
757,Pass,93,1360,1
758,Pass,82,3326,1
759,Fail,62,2698,0
760,Pass,80,2110,1
761,Withdrawn,89,491,0
762,Fail,69,585,0
763,Fail,76,408,0
764,Pass,65,4000,1
765,Pass,78,574,0
766,Withdrawn,87,2896,0
767,Pass,92,762,1
768,Distinction,84,2732,0
769,Pass,76,1150,0
770,Withdrawn,78,363,0
771,Pass,84,2096,1
772,Pass,62,2275,1
773,Pass,85,1157,0
774,Fail,75,278,0
775,Pass,89,5183,1
776,Withdrawn,90,2103,0
777,Pass,74,6125,1
778,Fail,47,236,0
779,Withdrawn,56,1088,0
780,Pass,85,2881,1
781,Distinction,91,2412,1
782,Fail,64,825,0
783,Pass,52,2500,1
784,Withdrawn,53,610,0
785,Distinction,84,2291,0
786,Pass,80,581,0
787,Fail,71,728,0
788,Withdrawn,55,188,0
789,Pass,70,2362,1
790,Pass,65,878,0
791,Withdrawn,92,792,1
792,Pass,58,678,0
793,Pass,67,2793,1
794,Withdrawn,77,1473,0
795,Withdrawn,34,151,0
796,Fail,61,1040,0
797,Pass,80,1628,0
798,Pass,80,5528,1
799,Pass,73,6273,1
800,Fail,80,182,0
801,Fail,80,575,0
802,Withdrawn,50,942,0
803,Pass,73,977,0
804,Pass,74,1298,0
805,Withdrawn,33,702,0
806,Pass,67,737,0
807,Withdrawn,74,581,0
808,Distinction,94,818,1
809,Fail,78,437,0
810,Fail,36,344,0
811,Fail,61,790,0
812,Withdrawn,86,3198,0
813,Distinction,88,4604,0
814,Distinction,93,518,1
815,Fail,87,1881,0
816,Pass,84,1131,0
817,Pass,66,286,0
818,Fail,88,653,0
819,Fail,24,127,0
820,Pass,91,3610,1
821,Distinction,89,2110,0
822,Fail,92,297,1
823,Fail,69,260,0
824,Pass,73,2568,1
825,Pass,86,3028,1
826,Pass,80,3407,1
827,Withdrawn,84,392,0
828,Pass,73,1823,1
829,Withdrawn,49,756,0
830,Pass,84,3228,1
831,Fail,67,491,0
832,Fail,75,415,0
833,Pass,85,5165,1
834,Withdrawn,29,276,0
835,Pass,73,460,0
836,Pass,84,878,0
837,Distinction,97,2782,1
838,Pass,82,2349,1
839,Fail,78,778,0
840,Pass,74,2121,1
841,Distinction,93,5463,1
842,Pass,73,435,0
843,Pass,72,6160,1
844,Fail,52,135,0
845,Pass,81,2637,1
846,Distinction,89,2127,0
847,Distinction,86,704,0
848,Pass,91,4529,1
849,Distinction,94,4365,1
850,Fail,75,1984,0
851,Pass,73,2578,1
852,Distinction,86,1661,0
853,Pass,69,5645,1
854,Pass,80,1501,0
855,Withdrawn,84,342,0
856,Fail,67,311,0
857,Withdrawn,75,864,0
858,Fail,56,2004,0
859,Pass,54,452,0
860,Pass,62,662,0
861,Distinction,96,1552,1
862,Fail,68,259,0
863,Fail,47,1121,0
864,Pass,86,862,0
865,Withdrawn,59,659,0
866,Distinction,93,2305,1
867,Withdrawn,41,42,0
868,Pass,83,167,0
869,Fail,50,597,0
870,Fail,63,856,0
871,Pass,63,368,0
872,Pass,87,324,0
873,Fail,72,650,0
874,Fail,43,708,0
875,Withdrawn,74,637,0
876,Distinction,86,3756,0
877,Withdrawn,86,821,0
878,Pass,75,1054,0
879,Pass,79,8583,1
880,Withdrawn,63,221,0
881,Pass,67,2457,1
882,Withdrawn,65,866,0
883,Fail,70,861,0
884,Fail,69,1718,0
885,Withdrawn,52,155,0
886,Fail,79,342,0
887,Fail,61,529,0
888,Fail,46,197,0
889,Withdrawn,86,1576,0
890,Pass,85,1328,0
891,Pass,83,421,0
892,Withdrawn,80,3812,0
893,Pass,78,2824,1
894,Withdrawn,76,485,0
895,Pass,85,5338,1
896,Pass,73,2835,1
897,Pass,66,2342,1
898,Pass,68,141,0
899,Withdrawn,79,200,0
900,Withdrawn,50,1113,0
901,Pass,78,1794,1
902,Distinction,70,2129,0
903,Fail,70,674,0
904,Pass,76,9875,1
905,Pass,50,270,0
906,Pass,70,2495,1
907,Fail,72,285,0
908,Withdrawn,67,166,0
909,Pass,89,424,0
910,Pass,66,591,0
911,Fail,65,85,0
912,Fail,76,1622,0
913,Withdrawn,52,500,0
914,Withdrawn,76,2347,0
915,Pass,61,3064,1
916,Distinction,92,9671,1
917,Pass,82,5089,1
918,Withdrawn,61,7798,0
919,Withdrawn,71,765,0
920,Distinction,83,381,0
921,Withdrawn,76,351,0
922,Pass,82,2194,1
923,Distinction,89,7558,0
924,Pass,80,299,0
925,Pass,76,8137,1
926,Pass,59,784,0
927,Fail,70,534,0
928,Pass,71,1056,0
929,Distinction,84,842,0
930,Fail,76,2000,0
931,Withdrawn,85,580,0
932,Pass,83,5075,1
933,Withdrawn,67,3457,0
934,Pass,79,681,0
935,Pass,73,569,0
936,Fail,75,1465,0
937,Pass,59,1977,1
938,Fail,53,343,0
939,Fail,88,97,0
940,Distinction,89,2695,0
941,Pass,79,417,0
942,Withdrawn,78,12401,0
943,Withdrawn,24,71,0
944,Fail,49,75,0
945,Pass,70,2386,1
946,Distinction,92,407,1
947,Pass,77,1981,1
948,Distinction,77,2092,0
949,Distinction,84,5057,0
950,Pass,67,1529,0
951,Pass,88,1258,0
952,Pass,80,4003,1
953,Pass,83,2735,1
954,Fail,54,2175,0
955,Distinction,91,452,1
956,Withdrawn,78,2645,0
957,Fail,70,243,0
958,Pass,77,2421,1
959,Pass,91,575,1
960,Withdrawn,71,652,0
961,Pass,80,2094,1
962,Pass,72,1101,0
963,Pass,87,1290,0
964,Pass,69,302,0
965,Withdrawn,76,911,0
966,Distinction,90,3132,0
967,Pass,58,1332,0
968,Pass,66,2675,1
969,Withdrawn,65,944,0
970,Pass,71,1405,0
971,Fail,50,368,0
972,Pass,92,1519,1
973,Withdrawn,67,457,0
974,Pass,52,752,0
975,Withdrawn,74,4746,0
976,Pass,89,1680,0
977,Pass,78,981,0
978,Pass,83,2892,1
979,Distinction,87,799,0
980,Fail,70,101,0
981,Fail,77,444,0
982,Withdrawn,70,571,0
983,Pass,76,1267,0
984,Pass,62,2466,1
985,Fail,76,2495,0
986,Withdrawn,68,2062,0
987,Pass,91,3922,1
988,Pass,72,95,0
989,Withdrawn,67,2746,0
990,Withdrawn,70,314,0
991,Pass,64,2235,1
992,Fail,52,4149,0
993,Withdrawn,47,86,0
994,Fail,72,1681,0
995,Pass,76,429,0
996,Pass,81,1900,1
997,Fail,66,143,0
998,Pass,90,572,0
999,Pass,85,1711,1
1000,Distinction,81,970,0
1001,Fail,57,958,0
1002,Fail,40,94,0
1003,Withdrawn,69,740,0
1004,Distinction,92,2955,1
1005,Fail,60,1219,0
1006,Fail,36,399,0
1007,Pass,82,2460,1
1008,Withdrawn,40,93,0
1009,Withdrawn,72,1066,0
1010,Pass,81,3716,1
1011,Fail,54,655,0
1012,Withdrawn,0,19,0
1013,Fail,47,775,0
1014,Pass,90,4129,1
1015,Distinction,88,481,0
1016,Pass,72,466,0
1017,Pass,97,507,1
1018,Pass,75,673,0
1019,Pass,62,1300,0
1020,Fail,76,2613,0
1021,Fail,45,429,0
1022,Withdrawn,54,752,0
1023,Fail,77,1062,0
1024,Pass,82,1111,0
1025,Pass,67,911,0
1026,Fail,59,1178,0
1027,Pass,72,574,0
1028,Fail,65,4104,0
1029,Withdrawn,44,710,0
1030,Withdrawn,53,3948,0
1031,Fail,56,1495,0
1032,Withdrawn,65,74,0
1033,Distinction,93,963,1
1034,Pass,76,2912,1
1035,Distinction,100,3160,1
1036,Fail,72,112,0
1037,Pass,81,3667,1
1038,Pass,87,810,0
1039,Pass,85,3328,1
1040,Pass,85,2223,1
1041,Pass,74,922,0
1042,Pass,56,2761,1
1043,Withdrawn,88,641,0
1044,Fail,46,286,0
1045,Fail,65,2027,0
1046,Pass,76,2734,1
1047,Pass,69,1510,0
1048,Withdrawn,46,479,0
